State,No of PMJDY Accounts
Andaman & Nicobar Islands,59976
Andhra Pradesh,15090751
Arunachal Pradesh,457945
Assam,24295424
Bihar,61079616
Chandigarh,330283
Chhattisgarh,17936231
Dadra & Nagar Haveli,0
Daman & Diu,0
Delhi,6501581
Goa,208757
Gujarat,18875673
Haryana,10178788
Himachal Pradesh,1928486
Jammu & Kashmir,2518886
Jharkhand,19035267
Karnataka,19514968
Kerala,6448040
Ladakh,19794
Lakshadweep,9542
Madhya Pradesh,44112337
Maharashtra,35849764
Manipur,1103217
Meghalaya,805162
Mizoram,396313
Nagaland,400680
Odisha,22218563
Puducherry,227343
Punjab,9264662
Rajasthan,36008179
Sikkim,92398
Tamil Nadu,16230389
Telangana,12139255
Tripura,1081384
Uttar Pradesh,95582239
Uttarakhand,3704672
West Bengal,52197876
Total,536140188
