STATE,PMJDY_ACCOUNTS,RANK_BY_ACCOUNTS,CONTRIBUTION_PCT
total,536140188,1,50.01
uttar pradesh,95582239,2,8.92
bihar,61079616,3,5.7
west bengal,52197876,4,4.87
madhya pradesh,44112337,5,4.11
rajasthan,36008179,6,3.36
maharashtra,35849764,7,3.34
assam,24295424,8,2.27
odisha,22218563,9,2.07
karnataka,19514968,10,1.82
jharkhand,19035267,11,1.78
gujarat,18875673,12,1.76
chhattisgarh,17936231,13,1.67
tamil nadu,16230389,14,1.51
andhra pradesh,15090751,15,1.41
telangana,12139255,16,1.13
haryana,10178788,17,0.95
punjab,9264662,18,0.86
delhi,6501581,19,0.61
kerala,6448040,20,0.6
uttarakhand,3704672,21,0.35
jammu & kashmir,2518886,22,0.23
himachal pradesh,1928486,23,0.18
manipur,1103217,24,0.1
tripura,1081384,25,0.1
meghalaya,805162,26,0.08
arunachal pradesh,457945,27,0.04
nagaland,400680,28,0.04
mizoram,396313,29,0.04
chandigarh,330283,30,0.03
puducherry,227343,31,0.02
goa,208757,32,0.02
sikkim,92398,33,0.01
andaman & nicobar islands,59976,34,0.01
ladakh,19794,35,0
lakshadweep,9542,36,0
daman & diu,0,37,0
dadra & nagar haveli,0,37,0
