Month/Year,Volume (Lakh),Value( Rupees Crores )
Feb-26,203941.84,2684229
Jan-26,217034.45,2833481
Dec-25,216346.68,2796713
Nov-25,204669.79,2631633
Oct-25,207009.21,2727791
Sep-25,196334.33,2489737
Aug-25,200083.1,2485473
Jul-25,194679.48,2508498
Jun-25,183950.06,2403931
May-25,186774.6,2514297
Apr-25,178934.24,2394926
Mar-25,183015.08,2477222
Feb-25,161061.93,2196482
Jan-25,169960.01,2348037
Dec-24,167300.09,2324700
Nov-24,154820.21,2155187
Oct-24,165849.66,2349821
Sep-24,150417.47,2063995
Aug-24,149630.47,2060736
Jul-24,144355.54,2064292
Jun-24,138851.42,2007081
May-24,140358.43,2044937
Apr-24,133039.94,1964465
Mar-24,134400.04,1978353
Feb-24,121026.73,1827869
Jan-24,122030.18,1841084
Dec-23,120202.26,1822949
Nov-23,112352.92,1739741
Oct-23,114087.9,1715768
Sep-23,105556.87,1579133
Aug-23,105860.16,1576537
Jul-23,99642.56,1533536
Jun-23,93350.61,1475464
May-23,94151.85,1489145
Apr-23,88632.6,1415505
Mar-23,86516.34,1404951
Feb-23,75347.57,1235847
Jan-23,80385.88,1299059
Dec-22,78288.95,1281971
Nov-22,73094.47,1190593
Oct-22,73054.21,1211588
Sep-22,67808,1116438
Aug-22,65819.06,1073162
Jul-22,62893.4,1063117
Jun-22,58629.08,1014413
May-22,59462.89,1040221
Apr-22,55843.88,983573
Mar-22,54056.51,960582
Feb-22,45274.89,826843
Jan-22,46171.56,831993
Dec-21,45662.99,826848
Nov-21,41864.8,768436
Oct-21,42184.32,771407
Sep-21,36558.17,654648
Aug-21,35555.45,639117
Jul-21,32455.02,605883
Jun-21,28075.16,547373
May-21,25291.82,489106
Apr-21,26410.61,493664
Mar-21,27316.85,504886
Feb-21,22928.94,425063
Jan-21,23027.28,431182
Dec-20,22341.58,416176
Nov-20,22102.28,390999
Oct-20,20716.19,386107
Sep-20,18001.67,329032
Aug-20,16188.28,298308
Jul-20,14973.54,290538
Jun-20,13369.31,261835
May-20,12344.97,218392
Apr-20,9995.74,151141
Mar-20,12468.45,206462
Feb-20,13256.93,222517
Jan-20,13050.19,216243
Dec-19,13084.02,202521
Nov-19,12187.71,189229
