MONTH,VOLUME,VALUE,PREV_VOLUME,VOLUME_GROWTH_PCT
2019-11-01,12187.71,189229,,
2019-12-01,13084.02,202521,12187.71,7.35
2020-01-01,13050.19,216243,13084.02,-0.26
2020-02-01,13256.93,222517,13050.19,1.58
2020-03-01,12468.45,206462,13256.93,-5.95
2020-04-01,9995.74,151141,12468.45,-19.83
2020-05-01,12344.97,218392,9995.74,23.5
2020-06-01,13369.31,261835,12344.97,8.3
2020-07-01,14973.54,290538,13369.31,12
2020-08-01,16188.28,298308,14973.54,8.11
2020-09-01,18001.67,329032,16188.28,11.2
2020-10-01,20716.19,386107,18001.67,15.08
2020-11-01,22102.28,390999,20716.19,6.69
2020-12-01,22341.58,416176,22102.28,1.08
2021-01-01,23027.28,431182,22341.58,3.07
2021-02-01,22928.94,425063,23027.28,-0.43
2021-03-01,27316.85,504886,22928.94,19.14
2021-04-01,26410.61,493664,27316.85,-3.32
2021-05-01,25291.82,489106,26410.61,-4.24
2021-06-01,28075.16,547373,25291.82,11
2021-07-01,32455.02,605883,28075.16,15.6
2021-08-01,35555.45,639117,32455.02,9.55
2021-09-01,36558.17,654648,35555.45,2.82
2021-10-01,42184.32,771407,36558.17,15.39
2021-11-01,41864.8,768436,42184.32,-0.76
2021-12-01,45662.99,826848,41864.8,9.07
2022-01-01,46171.56,831993,45662.99,1.11
2022-02-01,45274.89,826843,46171.56,-1.94
2022-03-01,54056.51,960582,45274.89,19.4
2022-04-01,55843.88,983573,54056.51,3.31
2022-05-01,59462.89,1040221,55843.88,6.48
2022-06-01,58629.08,1014413,59462.89,-1.4
2022-07-01,62893.4,1063117,58629.08,7.27
2022-08-01,65819.06,1073162,62893.4,4.65
2022-09-01,67808,1116438,65819.06,3.02
2022-10-01,73054.21,1211588,67808,7.74
2022-11-01,73094.47,1190593,73054.21,0.06
2022-12-01,78288.95,1281971,73094.47,7.11
2023-01-01,80385.88,1299059,78288.95,2.68
2023-02-01,75347.57,1235847,80385.88,-6.27
2023-03-01,86516.34,1404951,75347.57,14.82
2023-04-01,88632.6,1415505,86516.34,2.45
2023-05-01,94151.85,1489145,88632.6,6.23
2023-06-01,93350.61,1475464,94151.85,-0.85
2023-07-01,99642.56,1533536,93350.61,6.74
2023-08-01,105860.16,1576537,99642.56,6.24
2023-09-01,105556.87,1579133,105860.16,-0.29
2023-10-01,114087.9,1715768,105556.87,8.08
2023-11-01,112352.92,1739741,114087.9,-1.52
2023-12-01,120202.26,1822949,112352.92,6.99
2024-01-01,122030.18,1841084,120202.26,1.52
2024-02-01,121026.73,1827869,122030.18,-0.82
2024-03-01,134400.04,1978353,121026.73,11.05
2024-04-01,133039.94,1964465,134400.04,-1.01
2024-05-01,140358.43,2044937,133039.94,5.5
2024-06-01,138851.42,2007081,140358.43,-1.07
2024-07-01,144355.54,2064292,138851.42,3.96
2024-08-01,149630.47,2060736,144355.54,3.65
2024-09-01,150417.47,2063995,149630.47,0.53
2024-10-01,165849.66,2349821,150417.47,10.26
2024-11-01,154820.21,2155187,165849.66,-6.65
2024-12-01,167300.09,2324700,154820.21,8.06
2025-01-01,169960.01,2348037,167300.09,1.59
2025-02-01,161061.93,2196482,169960.01,-5.24
2025-03-01,183015.08,2477222,161061.93,13.63
2025-04-01,178934.24,2394926,183015.08,-2.23
2025-05-01,186774.6,2514297,178934.24,4.38
2025-06-01,183950.06,2403931,186774.6,-1.51
2025-07-01,194679.48,2508498,183950.06,5.83
2025-08-01,200083.1,2485473,194679.48,2.78
2025-09-01,196334.33,2489737,200083.1,-1.87
2025-10-01,207009.21,2727791,196334.33,5.44
2025-11-01,204669.79,2631633,207009.21,-1.13
2025-12-01,216346.68,2796713,204669.79,5.71
2026-01-01,217034.45,2833481,216346.68,0.32
2026-02-01,203941.84,2684229,217034.45,-6.03
